Block	Cultivar	SowTreat	SowingD	Plot	Depth	Date	Round	InitialSeedlotR1Number	SeedNumber	Soft	SoftGerm	SoftUngerm	SoftAbn	SoftDead	HardUngermFinal
1	Denmark	S2	28/07/2015	23	up	27/05/2016	2	50	28	1	1	0	0	0	0
1	Antas 	S2	28/07/2015	24	up	27/05/2016	2	50	36	3	2	1	0	0	0
2	Leura	S2	28/07/2015	25	up	27/05/2016	2	50	30	5	5	0	0	0	0
2	Woogenellup	S2	28/07/2015	26	up	27/05/2016	2	50	24	0	0	0	0	0	0
2	Denmark	S2	28/07/2015	27	up	27/05/2016	2	50	40	2	2	0	0	0	0
2	Narrikup	S2	28/07/2015	28	up	27/05/2016	2	50	29	0	0	0	0	0	0
2	Antas 	S2	28/07/2015	29	up	27/05/2016	2	50	16	6	6	0	0	0	0
2	Monti	S2	28/07/2015	30	up	27/05/2016	2	50	45	4	4	0	0	0	0
3	Denmark	S2	28/07/2015	31	up	27/05/2016	2	50	44	2	1	1	0	0	0
3	Antas 	S2	28/07/2015	32	up	27/05/2016	2	50	37	3	2	1	0	0	0
3	Monti	S2	28/07/2015	33	up	27/05/2016	2	50	42	2	2	0	0	0	0
3	Woogenellup	S2	28/07/2015	34	up	27/05/2016	2	50	23	3	2	1	0	0	0
3	Leura	S2	28/07/2015	35	up	27/05/2016	2	50	40	4	0	4	0	0	0
3	Narrikup	S2	28/07/2015	36	up	27/05/2016	2	50	16	3	1	2	0	0	0
1	Narrikup	S2	28/07/2015	19	down	27/05/2016	2	50	31	0	0	0	0	0	0
1	Monti	S2	28/07/2015	20	down	27/05/2016	2	50	42	3	3	0	0	0	0
1	Woogenellup	S2	28/07/2015	21	down	27/05/2016	2	50	39	0	0	0	0	0	0
1	Leura	S2	28/07/2015	22	down	27/05/2016	2	50	44	1	1	0	0	0	0
1	Denmark	S2	28/07/2015	23	down	27/05/2016	2	50	32	1	1	0	0	0	0
1	Antas 	S2	28/07/2015	24	down	27/05/2016	2	50	29	1	1	0	0	0	0
