"Date" "TT"
"377" 2016-07-04 4645.987007251
"378" 2016-07-05 4653.005007251
"379" 2016-07-06 4658.520007251
"380" 2016-07-07 4664.031507251
"381" 2016-07-08 4670.755007251
"382" 2016-07-09 4675.376507251
"383" 2016-07-10 4680.225007251
"384" 2016-07-11 4683.617007251
"385" 2016-07-12 4688.905507251
"386" 2016-07-13 4701.682007251
"387" 2016-07-14 4710.758507251
"388" 2016-07-15 4719.086507251
"389" 2016-07-16 4726.020507251
"390" 2016-07-17 4733.648507251
"391" 2016-07-18 4741.453007251
"392" 2016-07-19 4749.534507251
"393" 2016-07-20 4756.176507251
"394" 2016-07-21 4762.956007251
"395" 2016-07-22 4769.664007251
"396" 2016-07-23 4782.394007251
"397" 2016-07-24 4790.519507251
"398" 2016-07-25 4794.906007251
"399" 2016-07-26 4798.776007251
"400" 2016-07-27 4808.458507251
"401" 2016-07-28 4818.053507251
"402" 2016-07-29 4823.110507251
"403" 2016-07-30 4831.342507251
"404" 2016-07-31 4835.831007251
"405" 2016-08-01 4838.469007251
"406" 2016-08-02 4842.323007251
"407" 2016-08-03 4851.133507251
"408" 2016-08-04 4854.829507251
"409" 2016-08-05 4857.453507251
"410" 2016-08-06 4860.723507251
"411" 2016-08-07 4863.398007251
"412" 2016-08-08 4865.209507251
"413" 2016-08-09 4869.577507251
"414" 2016-08-10 4872.930507251
"415" 2016-08-11 4878.520007251
"416" 2016-08-12 4886.908507251
"417" 2016-08-13 4892.514007251
"418" 2016-08-14 4897.689007251
"419" 2016-08-15 4904.779507251
"420" 2016-08-16 4911.360007251
"421" 2016-08-17 4918.419007251
"422" 2016-08-18 4925.588507251
"423" 2016-08-19 4934.884507251
"424" 2016-08-20 4945.217507251
"425" 2016-08-21 4957.194007251
"426" 2016-08-22 4968.576007251
"427" 2016-08-23 4974.284507251
"428" 2016-08-24 4982.132007251
"429" 2016-08-25 4990.080007251
"430" 2016-08-26 4996.420507251
"431" 2016-08-27 5003.174507251
"432" 2016-08-28 5011.660507251
"433" 2016-08-29 5024.623507251
"434" 2016-08-30 5034.820507251
"435" 2016-08-31 5042.626507251
"436" 2016-09-01 5053.754507251
"437" 2016-09-02 5069.728507251
"438" 2016-09-03 5080.341507251
"439" 2016-09-04 5089.683507251
"440" 2016-09-05 5099.225007251
"441" 2016-09-06 5109.091007251
"442" 2016-09-07 5119.132507251
"443" 2016-09-08 5125.072507251
"444" 2016-09-09 5131.655007251
"445" 2016-09-10 5137.837007251
"446" 2016-09-11 5147.005507251
"447" 2016-09-12 5158.169507251
"448" 2016-09-13 5167.758507251
"449" 2016-09-14 5178.267507251
"450" 2016-09-15 5188.585507251
"451" 2016-09-16 5204.301007251
"452" 2016-09-17 5217.196007251
"453" 2016-09-18 5226.910007251
"454" 2016-09-19 5236.277007251
"455" 2016-09-20 5245.107007251
"456" 2016-09-21 5252.917007251
"457" 2016-09-22 5262.943507251
"458" 2016-09-23 5272.751507251
"459" 2016-09-24 5282.649507251
"460" 2016-09-25 5292.772507251
"461" 2016-09-26 5303.110007251
"462" 2016-09-27 5315.502007251
"463" 2016-09-28 5329.153007251
"464" 2016-09-29 5342.400507251
"465" 2016-09-30 5356.158507251
"466" 2016-10-01 5369.408007251
"467" 2016-10-02 5381.974007251
"468" 2016-10-03 5392.483007251
"469" 2016-10-04 5404.113507251
"470" 2016-10-05 5414.053007251
"471" 2016-10-06 5425.421507251
"472" 2016-10-07 5433.187007251
"473" 2016-10-08 5444.745007251
"474" 2016-10-09 5451.707507251
"475" 2016-10-10 5461.671007251
"476" 2016-10-11 5479.363507251
"477" 2016-10-12 5488.876507251
"478" 2016-10-13 5497.463507251
"479" 2016-10-14 5507.719007251
"480" 2016-10-15 5518.254507251
"481" 2016-10-16 5533.819007251
"482" 2016-10-17 5551.624007251
"483" 2016-10-18 5568.153007251
"484" 2016-10-19 5583.545507251
"485" 2016-10-20 5592.983507251
"486" 2016-10-21 5600.882507251
"487" 2016-10-22 5609.128507251
"488" 2016-10-23 5619.427007251
"489" 2016-10-24 5632.842007251
"490" 2016-10-25 5649.808507251
"491" 2016-10-26 5662.083007251
"492" 2016-10-27 5675.998507251
"493" 2016-10-28 5690.763507251
"494" 2016-10-29 5700.541007251
"495" 2016-10-30 5711.434007251
"496" 2016-10-31 5721.491007251
"497" 2016-11-01 5734.470007251
"498" 2016-11-02 5747.277007251
"499" 2016-11-03 5761.738507251
"500" 2016-11-04 5774.236507251
"501" 2016-11-05 5786.324007251
"502" 2016-11-06 5803.267007251
"503" 2016-11-07 5815.123507251
"504" 2016-11-08 5826.762507251
"505" 2016-11-09 5846.635507251
"506" 2016-11-10 5857.453507251
