"Block" "Cultivar" "SowTreat" "SowingD" "Plot" "Depth" "Date" "Round" "SeedNumber" "Soft" "PropSoft" "hardSeed" "transf_no" "transf_sqr" "transf_log" "transf_acos" "transf_power3" "transf_log10"
"56" "1" "Monti" "S2" "28/07/2015" "20" "down" 2016-03-16 1 50 8 16 84 84 9.16515138991168 4.43081679884331 0.573513104423097 592704 1.92427928606188
"57" "1" "Woogenellup" "S2" "28/07/2015" "21" "down" 2016-03-16 1 50 11 22 78 78 8.83176086632785 4.35670882668959 0.676130509560661 474552 1.89209460269048
"58" "1" "Leura" "S2" "28/07/2015" "22" "down" 2016-03-16 1 50 6 12 88 88 9.38083151964686 4.47733681447821 0.494934126340896 681472 1.94448267215017
"59" "1" "Denmark" "S2" "28/07/2015" "23" "down" 2016-03-16 1 50 18 36 64 64 8 4.15888308335967 0.876298061168341 262144 1.80617997398389
"60" "1" "Antas" "S2" "28/07/2015" "24" "down" 2016-03-16 1 50 21 42 58 58 7.61577310586391 4.06044301054642 0.952067636122646 195112 1.76342799356294
"61" "2" "Leura" "S2" "28/07/2015" "25" "down" 2016-03-16 1 50 27 54 46 46 6.78232998312527 3.8286413964891 1.09280112827594 97336 1.66275783168157
"62" "2" "Woogenellup" "S2" "28/07/2015" "26" "down" 2016-03-16 1 50 14 28 72 72 8.48528137423857 4.27666611901606 0.766994007861867 373248 1.85733249643127
"63" "2" "Denmark" "S2" "28/07/2015" "27" "down" 2016-03-16 1 50 17 34 66 66 8.12403840463596 4.18965474202643 0.849977565924807 287496 1.81954393554187
"64" "2" "Narrikup" "S2" "28/07/2015" "28" "down" 2016-03-16 1 50 22 44 56 56 7.48331477354788 4.02535169073515 0.976410526793834 175616 1.7481880270062
"65" "2" "Antas" "S2" "28/07/2015" "29" "down" 2016-03-16 1 50 37 74 26 26 5.09901951359278 3.25809653802148 1.30777412388643 17576 1.41497334797082
"66" "2" "Monti" "S2" "28/07/2015" "30" "down" 2016-03-16 1 50 7 14 86 86 9.2736184954957 4.45434729625351 0.535526654314388 636056 1.93449845124357
