"Cultivar" "SowTreat" "Variable" "DateMeasure" "SowingD" "avP" "avTT"
"155" "Antas" "S2" "Petal" 2015-12-14 2015-07-28 73.3333333333333 NA
"156" "Antas" "S2" "Petal" 2015-12-18 2015-07-28 66.6666666666667 NA
"157" "Antas" "S2" "Petal" 2015-12-22 2015-07-28 53.3333333333333 NA
"158" "Antas" "S2" "Petal" 2015-12-29 2015-07-28 26.6666666666667 NA
"159" "Antas" "S3" "Bud" 2015-11-12 2015-09-15 0 NA
"160" "Antas" "S3" "Bud" 2015-11-16 2015-09-15 0 NA
"161" "Antas" "S3" "Bud" 2015-11-20 2015-09-15 0 NA
"162" "Antas" "S3" "Bud" 2015-11-27 2015-09-15 13.3333333333333 NA
"163" "Antas" "S3" "Bud" 2015-12-02 2015-09-15 53.3333333333333 NA
"164" "Antas" "S3" "Bud" 2015-12-07 2015-09-15 93.3333333333333 NA
"165" "Antas" "S3" "Bud" 2015-12-10 2015-09-15 86.6666666666667 NA
"166" "Antas" "S3" "Bud" 2015-12-14 2015-09-15 93.3333333333333 NA
"167" "Antas" "S3" "Bud" 2015-12-18 2015-09-15 80 NA
"168" "Antas" "S3" "Bud" 2015-12-21 2015-09-15 80 NA
"169" "Antas" "S3" "Bud" 2015-12-24 2015-09-15 73.3333333333333 NA
"170" "Antas" "S3" "Bud" 2015-12-27 2015-09-15 80 NA
"171" "Antas" "S3" "Bud" 2015-12-31 2015-09-15 86.6666666666667 NA
"172" "Antas" "S3" "Bur1" 2015-11-12 2015-09-15 0 NA
"173" "Antas" "S3" "Bur1" 2015-11-16 2015-09-15 0 NA
"174" "Antas" "S3" "Bur1" 2015-11-20 2015-09-15 0 NA
"175" "Antas" "S3" "Bur1" 2015-11-27 2015-09-15 0 NA
"176" "Antas" "S3" "Bur1" 2015-12-02 2015-09-15 0 NA
"177" "Antas" "S3" "Bur1" 2015-12-07 2015-09-15 0 NA
"178" "Antas" "S3" "Bur1" 2015-12-10 2015-09-15 0 NA
"179" "Antas" "S3" "Bur1" 2015-12-14 2015-09-15 33.3333333333333 NA
"180" "Antas" "S3" "Bur1" 2015-12-18 2015-09-15 33.3333333333333 NA
"181" "Antas" "S3" "Bur1" 2015-12-21 2015-09-15 53.3333333333333 NA
"182" "Antas" "S3" "Bur1" 2015-12-24 2015-09-15 40 NA
"183" "Antas" "S3" "Bur1" 2015-12-27 2015-09-15 80 NA
"184" "Antas" "S3" "Bur1" 2015-12-31 2015-09-15 80 NA
"185" "Antas" "S3" "Bur2" 2015-11-12 2015-09-15 0 NA
"186" "Antas" "S3" "Bur2" 2015-11-16 2015-09-15 0 NA
"187" "Antas" "S3" "Bur2" 2015-11-20 2015-09-15 0 NA
"188" "Antas" "S3" "Bur2" 2015-11-27 2015-09-15 0 NA
"189" "Antas" "S3" "Bur2" 2015-12-02 2015-09-15 0 NA
"190" "Antas" "S3" "Bur2" 2015-12-07 2015-09-15 0 NA
"191" "Antas" "S3" "Bur2" 2015-12-10 2015-09-15 0 NA
"192" "Antas" "S3" "Bur2" 2015-12-14 2015-09-15 6.66666666666667 NA
"193" "Antas" "S3" "Bur2" 2015-12-18 2015-09-15 6.66666666666667 NA
"194" "Antas" "S3" "Bur2" 2015-12-21 2015-09-15 6.66666666666667 NA
"195" "Antas" "S3" "Bur2" 2015-12-24 2015-09-15 13.3333333333333 NA
"196" "Antas" "S3" "Bur2" 2015-12-27 2015-09-15 73.3333333333333 NA
"197" "Antas" "S3" "Bur2" 2015-12-31 2015-09-15 60 NA
"198" "Antas" "S3" "Bur3" 2015-11-27 2015-09-15 0 NA
"199" "Antas" "S3" "Bur3" 2015-12-02 2015-09-15 0 NA
"200" "Antas" "S3" "Bur3" 2015-12-07 2015-09-15 0 NA
"201" "Antas" "S3" "Bur3" 2015-12-10 2015-09-15 0 NA
"202" "Antas" "S3" "Bur3" 2015-12-14 2015-09-15 0 NA
"203" "Antas" "S3" "Bur3" 2015-12-18 2015-09-15 0 NA
"204" "Antas" "S3" "Bur3" 2015-12-21 2015-09-15 0 NA
"205" "Antas" "S3" "Bur3" 2015-12-24 2015-09-15 6.66666666666667 NA
"206" "Antas" "S3" "Bur3" 2015-12-27 2015-09-15 26.6666666666667 NA
"207" "Antas" "S3" "Bur3" 2015-12-31 2015-09-15 40 NA
"208" "Antas" "S3" "Bur4" 2015-12-10 2015-09-15 0 NA
"209" "Antas" "S3" "Bur4" 2015-12-14 2015-09-15 0 NA
"210" "Antas" "S3" "Bur4" 2015-12-18 2015-09-15 0 NA
"211" "Antas" "S3" "Bur4" 2015-12-21 2015-09-15 0 NA
"212" "Antas" "S3" "Bur4" 2015-12-24 2015-09-15 0 NA
"213" "Antas" "S3" "Bur4" 2015-12-27 2015-09-15 0 NA
"214" "Antas" "S3" "Bur4" 2015-12-31 2015-09-15 0 NA
"215" "Antas" "S3" "Early" 2015-11-12 2015-09-15 0 NA
"216" "Antas" "S3" "Early" 2015-11-16 2015-09-15 0 NA
"217" "Antas" "S3" "Early" 2015-11-20 2015-09-15 0 NA
"218" "Antas" "S3" "Early" 2015-11-27 2015-09-15 13.3333333333333 NA
"219" "Antas" "S3" "Early" 2015-12-02 2015-09-15 6.66666666666667 NA
"220" "Antas" "S3" "Early" 2015-12-07 2015-09-15 20 NA
"221" "Antas" "S3" "Early" 2015-12-10 2015-09-15 13.3333333333333 NA
"222" "Antas" "S3" "Early" 2015-12-14 2015-09-15 13.3333333333333 NA
"223" "Antas" "S3" "Early" 2015-12-18 2015-09-15 40 NA
"224" "Antas" "S3" "Early" 2015-12-21 2015-09-15 46.6666666666667 NA
"225" "Antas" "S3" "Early" 2015-12-24 2015-09-15 33.3333333333333 NA
"226" "Antas" "S3" "Early" 2015-12-27 2015-09-15 13.3333333333333 NA
"227" "Antas" "S3" "Early" 2015-12-31 2015-09-15 20 NA
"228" "Antas" "S3" "Open" 2015-11-12 2015-09-15 0 NA
"229" "Antas" "S3" "Open" 2015-11-16 2015-09-15 0 NA
"230" "Antas" "S3" "Open" 2015-11-20 2015-09-15 0 NA
"231" "Antas" "S3" "Open" 2015-11-27 2015-09-15 0 NA
"232" "Antas" "S3" "Open" 2015-12-02 2015-09-15 6.66666666666667 NA
"233" "Antas" "S3" "Open" 2015-12-07 2015-09-15 60 NA
"234" "Antas" "S3" "Open" 2015-12-10 2015-09-15 66.6666666666667 NA
"235" "Antas" "S3" "Open" 2015-12-14 2015-09-15 40 NA
"236" "Antas" "S3" "Open" 2015-12-18 2015-09-15 80 NA
"237" "Antas" "S3" "Open" 2015-12-21 2015-09-15 80 NA
"238" "Antas" "S3" "Open" 2015-12-24 2015-09-15 80 NA
"239" "Antas" "S3" "Open" 2015-12-27 2015-09-15 93.3333333333333 NA
"240" "Antas" "S3" "Open" 2015-12-31 2015-09-15 73.3333333333333 NA
"241" "Antas" "S3" "Petal" 2015-11-12 2015-09-15 0 NA
"242" "Antas" "S3" "Petal" 2015-11-16 2015-09-15 0 NA
"243" "Antas" "S3" "Petal" 2015-11-20 2015-09-15 0 NA
"244" "Antas" "S3" "Petal" 2015-11-27 2015-09-15 0 NA
"245" "Antas" "S3" "Petal" 2015-12-02 2015-09-15 0 NA
"246" "Antas" "S3" "Petal" 2015-12-07 2015-09-15 40 NA
"247" "Antas" "S3" "Petal" 2015-12-10 2015-09-15 53.3333333333333 NA
"248" "Antas" "S3" "Petal" 2015-12-14 2015-09-15 93.3333333333333 NA
"249" "Antas" "S3" "Petal" 2015-12-18 2015-09-15 53.3333333333333 NA
"250" "Antas" "S3" "Petal" 2015-12-21 2015-09-15 66.6666666666667 NA
"251" "Antas" "S3" "Petal" 2015-12-24 2015-09-15 53.3333333333333 NA
"252" "Antas" "S3" "Petal" 2015-12-27 2015-09-15 93.3333333333333 NA
"253" "Antas" "S3" "Petal" 2015-12-31 2015-09-15 100 NA
"254" "Antas" "S4" "Bud" 2015-12-24 2015-11-05 0 NA
"255" "Antas" "S4" "Bud" 2015-12-27 2015-11-05 0 NA
"256" "Antas" "S4" "Bud" 2015-12-31 2015-11-05 0 NA
"257" "Antas" "S4" "Bur1" 2015-12-24 2015-11-05 0 NA
"258" "Antas" "S4" "Bur1" 2015-12-27 2015-11-05 0 NA
"259" "Antas" "S4" "Bur1" 2015-12-31 2015-11-05 0 NA
"260" "Antas" "S4" "Bur2" 2015-12-24 2015-11-05 0 NA
"261" "Antas" "S4" "Bur2" 2015-12-27 2015-11-05 0 NA
"262" "Antas" "S4" "Bur2" 2015-12-31 2015-11-05 0 NA
"263" "Antas" "S4" "Bur3" 2015-12-24 2015-11-05 0 NA
"264" "Antas" "S4" "Bur3" 2015-12-27 2015-11-05 0 NA
"265" "Antas" "S4" "Bur3" 2015-12-31 2015-11-05 0 NA
"266" "Antas" "S4" "Bur4" 2015-12-24 2015-11-05 0 NA
"267" "Antas" "S4" "Bur4" 2015-12-27 2015-11-05 0 NA
"268" "Antas" "S4" "Bur4" 2015-12-31 2015-11-05 0 NA
"269" "Antas" "S4" "Early" 2015-12-24 2015-11-05 0 NA
