"SowingD" "Date" "Cultivar" "SowTreat" "DAS" "Plot" "Variable" "S1" "S2" "S3" "S4" "S5" "Percent" "TT_meas" "TT_sow" "Pp_sow" "TTAS"
"77" "2015-06-24" "2015-10-27" "Monti" "S1" 125 10 "Bud" 1 1 1 1 1 100 1210.36877174 13.055375 10.022 1197.31339674
"78" "2015-06-24" "2015-10-27" "Narrikup" "S1" 125 11 "Bud" 1 1 1 1 1 100 1210.36877174 13.055375 10.022 1197.31339674
"79" "2015-06-24" "2015-10-27" "Antas" "S1" 125 1 "Bud" 0 0 0 0 0 0 1210.36877174 13.055375 10.022 1197.31339674
"80" "2015-06-24" "2015-10-27" "Monti" "S1" 125 2 "Bud" 1 0 1 1 1 80 1210.36877174 13.055375 10.022 1197.31339674
"81" "2015-06-24" "2015-10-27" "Denmark" "S1" 125 3 "Bud" 0 0 0 0 0 0 1210.36877174 13.055375 10.022 1197.31339674
"82" "2015-06-24" "2015-10-27" "Leura" "S1" 125 4 "Bud" 0 0 0 0 0 0 1210.36877174 13.055375 10.022 1197.31339674
"83" "2015-06-24" "2015-10-27" "Narrikup" "S1" 125 5 "Bud" 1 0 1 0 0 40 1210.36877174 13.055375 10.022 1197.31339674
"84" "2015-06-24" "2015-10-27" "Woogenellup" "S1" 125 6 "Bud" 0 0 0 0 0 0 1210.36877174 13.055375 10.022 1197.31339674
"85" "2015-06-24" "2015-10-27" "Denmark" "S1" 125 17 "Bud" 0 0 0 0 0 0 1210.36877174 13.055375 10.022 1197.31339674
"86" "2015-06-24" "2015-10-27" "Woogenellup" "S1" 125 13 "Bud" 0 0 0 0 0 0 1210.36877174 13.055375 10.022 1197.31339674
"87" "2015-06-24" "2015-10-27" "Antas" "S1" 125 14 "Bud" 0 0 0 0 0 0 1210.36877174 13.055375 10.022 1197.31339674
"88" "2015-06-24" "2015-10-27" "Monti" "S1" 125 15 "Bud" 0 0 0 0 1 20 1210.36877174 13.055375 10.022 1197.31339674
"89" "2015-06-24" "2015-10-27" "Narrikup" "S1" 125 16 "Bud" 1 1 1 1 1 100 1210.36877174 13.055375 10.022 1197.31339674
"90" "2015-06-24" "2015-10-27" "Leura" "S1" 125 18 "Bud" 0 1 0 1 0 40 1210.36877174 13.055375 10.022 1197.31339674
"91" "2015-06-24" "2015-12-07" "Monti" "S1" 166 2 "Bud" 0 0 0 0 0 0 1762.88277174 13.055375 10.022 1749.82739674
"92" "2015-06-24" "2015-12-07" "Denmark" "S1" 166 3 "Bud" 1 1 1 0 1 80 1762.88277174 13.055375 10.022 1749.82739674
"93" "2015-06-24" "2015-12-07" "Leura" "S1" 166 4 "Bud" 0 1 0 1 1 60 1762.88277174 13.055375 10.022 1749.82739674
"94" "2015-06-24" "2015-12-07" "Narrikup" "S1" 166 5 "Bud" 0 0 1 1 1 60 1762.88277174 13.055375 10.022 1749.82739674
"95" "2015-06-24" "2015-12-07" "Woogenellup" "S1" 166 6 "Bud" 0 1 1 1 0 60 1762.88277174 13.055375 10.022 1749.82739674
"96" "2015-06-24" "2015-12-07" "Antas" "S1" 166 7 "Bud" 1 1 1 1 1 100 1762.88277174 13.055375 10.022 1749.82739674
