Plot	Block	Cultivar	SowTreat	DAS	sample_area_m2	Layer	bur_total_weight_g	bur_no_subSample	bur_weight_subSample_g	seedNo	seed_weight_g	IndividualBurrWeight_g	TotalNumberofBurrs	Percent_Burrsburied 	IndividualSeedWeight_g	Seedsperbur	NumberTotalBurrs	TotalNumberSeeds	Seedsperm2	gseedsperm2	TSW_g
51	3	Antas 	S3	182	0.2	Up	90.246	50	5.473	161	1.865	0.10946	824.4655582	23.49309666	0.012	3.220	824.466	2654.779	13273.895	42741.943	11.584
51	3	Antas 	S3	182	0.2	Down	38.016	50	7.508	179	2.295	0.15016	253.1699521	*	0.013	3.580	253.170	906.348	4531.742	16223.637	12.821
52	3	Monti	S3	174	0.2	Up	35.3	50	2.7	135	1.129	0.054	653.7037037	21.62397907	0.008	2.700	653.704	1765.000	8825.000	23827.500	8.363
52	3	Monti	S3	174	0.2	Down	10.1	50	2.8	125	1.133	0.056	180.3571429	*	0.009	2.500	180.357	450.893	2254.464	5636.161	9.064
53	3	Narrikup	S3	174	0.2	Up	78.5	50	3.1	136	1.274	0.062	1266.129032	56.1923856	0.009	2.720	1266.129	3443.871	17219.355	46836.645	9.368
53	3	Narrikup	S3	174	0.2	Down	87.7	50	2.7	150	1.372	0.054	1624.074074	*	0.009	3.000	1624.074	4872.222	24361.111	73083.333	9.147
54	3	Denmark	S3	191	0.2	Up	37.35	50	2.75	149	1.141	0.055	679.0909091	57.65700655	0.008	2.980	679.091	2023.691	10118.455	30152.995	7.658
54	3	Denmark	S3	191	0.2	Down	45.458	50	2.458	143	0.944	0.04916	924.6948739	*	0.007	2.860	924.695	2644.627	13223.137	37818.171	6.601
55	1	Narrikup	S4	197	0.1	Up	37.71	50	2.079	165	0.841	0.04158	906.9264069	14.82718854	0.005	3.300	906.926	2992.857	29928.571	98764.286	5.097
55	1	Narrikup	S4	197	0.1	Down	12.1	50	3.832	186	1.86	0.07664	157.8810021	*	0.010	3.720	157.881	587.317	5873.173	21848.205	10.000
56	1	Antas 	S4	197	0.1	Up	7.99	50	2.515	88	0.8132	0.0503	158.8469185	7.564872338	0.009	1.760	158.847	279.571	2795.706	4920.442	9.241
56	1	Antas 	S4	197	0.1	Down	0.49	13	0.49	32	0.285	0.037692308	13	*	0.009	2.462	13.000	32.000	320.000	787.692	8.906
57	1	Denmark	S4	197	0.1	Up	5.7	50	2.31	278	1.717	0.0462	123.3766234	22.09922099	0.006	5.560	123.377	685.974	6859.740	38140.156	6.176
57	1	Denmark	S4	197	0.1	Down	1.5	35	1.5	113	0.4478	0.042857143	35	*	0.004	3.229	35.000	113.000	1130.000	3648.286	3.963
58	1	Leura	S4	197	0.1	Up	2.32	50	2.088	227	1.7	0.04176	55.55555556	9.747292419	0.007	4.540	55.556	252.222	2522.222	11450.889	7.489
58	1	Leura	S4	197	0.1	Down	0.09	6	0.09	17	0.058	0.015	6	*	0.003	2.833	6.000	17.000	170.000	481.667	3.412
59	1	Monti	S4	197	0.1	Up	24.25	50	2.592	193	1.181	0.05184	467.7854938	48.51550734	0.006	3.860	467.785	1805.652	18056.520	69698.167	6.119
59	1	Monti	S4	197	0.1	Down	26.14	50	2.965	118	1.432	0.0593	440.8094435	*	0.012	2.360	440.809	1040.310	10403.103	24551.323	12.136
60	1	Woogenellup	S4	197	0.1	Up	9.12	50	1.71	196	1.27	0.0342	266.6666667	9.194097616	0.006	3.920	266.667	1045.333	10453.333	40977.067	6.480
60	1	Woogenellup	S4	197	0.1	Down	0.44	27	0.44	73	0.285	0.016296296	27	*	0.004	2.704	27.000	73.000	730.000	1973.704	3.904
61	2	Antas 	S4	197	0.1	Up	14.23	50	3.252	117	1.347	0.06504	218.7884379	15.12868472	0.012	2.340	218.788	511.965	5119.649	11979.980	11.513
61	2	Antas 	S4	197	0.1	Down	2.36	39	2.36	151	1.241	0.060512821	39	*	0.008	3.872	39.000	151.000	1510.000	5846.410	8.219
62	2	Woogenellup	S4	197	0.1	Up	8.36	50	1.413	261	1.482	0.02826	295.8244869	4.825874612	0.006	5.220	295.824	1544.204	15442.038	80607.439	5.678
62	2	Woogenellup	S4	197	0.1	Down	0.26	15	0.26	61	0.354	0.017333333	15	*	0.006	4.067	15.000	61.000	610.000	2480.667	5.803
63	2	Narrikup	S4	197	0.1	Up	23.93	50	2.389	163	0.766	0.04778	500.8371704	27.49098647	0.005	3.260	500.837	1632.729	16327.292	53226.971	4.699
63	2	Narrikup	S4	197	0.1	Down	10.74	50	2.828	177	1.71	0.05656	189.8868458	*	0.010	3.540	189.887	672.199	6721.994	23795.860	9.661
64	2	Leura	S4	197	0.1	Up	0.7	28	0.7	61	0.358	0.025	28	3.448275862	0.006	2.179	28.000	61.000	610.000	1328.929	5.869
64	2	Leura	S4	197	0.1	Down	0.03	1	0.03	3	0.005	0.03	1	*	0.002	3.000	1.000	3.000	30.000	90.000	1.667
65	2	Denmark	S4	197	0.1	Up	0.97	27	0.97	93	0.6882	0.035925926	27	18.18181818	0.007	3.444	27.000	93.000	930.000	3203.333	7.400
65	2	Denmark	S4	197	0.1	Down	0.08	6	0.08	15	0.041	0.013333333	6	*	0.003	2.500	6.000	15.000	150.000	375.000	2.733
66	2	Monti	S4	197	0.1	Up	37.07	50	2.612	161	1.812	0.05224	709.6094946	46.55463408	0.011	3.220	709.609	2284.943	22849.426	73575.151	11.255
66	2	Monti	S4	197	0.1	Down	32.34	50	2.616	122	0.99132	0.05232	618.1192661	*	0.008	2.440	618.119	1508.211	15082.110	36800.349	8.126
67	3	Leura	S4	197	0.1	Up	0.63	29	0.63	61	0.272	0.021724138	29	49.12280702	0.004	2.103	29.000	61.000	610.000	1283.103	4.459
