date	hour	Air
23/07/2015	20	7.041
23/07/2015	21	6.458
23/07/2015	22	6.281
23/07/2015	23	4.714
24/07/2015	0	3.248
24/07/2015	1	3.406
24/07/2015	2	4.324
24/07/2015	3	4.194
24/07/2015	4	5.616
24/07/2015	5	5.821
24/07/2015	6	5.128
24/07/2015	7	3.643
24/07/2015	8	3.195
24/07/2015	9	4.688
24/07/2015	10	7.544
24/07/2015	11	11.248
24/07/2015	12	13.546
24/07/2015	13	13.209
24/07/2015	14	12.896
24/07/2015	15	12.195
24/07/2015	16	11.419
24/07/2015	17	10.075
24/07/2015	18	8.618
24/07/2015	19	8.095
24/07/2015	20	7.82
24/07/2015	21	7.645
24/07/2015	22	8.195
24/07/2015	23	8.543
25/07/2015	0	8.792
25/07/2015	1	9.163
25/07/2015	2	9.064
25/07/2015	3	9.139
25/07/2015	4	9.114
25/07/2015	5	9.287
25/07/2015	6	9.238
25/07/2015	7	8.941
25/07/2015	8	8.668
25/07/2015	9	9.287
25/07/2015	10	10.124
25/07/2015	11	10.736
25/07/2015	12	10.98
25/07/2015	13	11.127
25/07/2015	14	11.248
25/07/2015	15	10.883
25/07/2015	16	10.541
25/07/2015	17	10.051
25/07/2015	18	9.78
25/07/2015	19	9.41
25/07/2015	20	9.262
25/07/2015	21	8.742
25/07/2015	22	9.089
25/07/2015	23	9.78
26/07/2015	0	10.345
26/07/2015	1	10.858
26/07/2015	2	10.785
26/07/2015	3	11.492
26/07/2015	4	11.977
26/07/2015	5	12.292
26/07/2015	6	12.485
26/07/2015	7	12.485
26/07/2015	8	12.074
26/07/2015	9	12.992
26/07/2015	10	14.84
26/07/2015	11	16.892
26/07/2015	12	16.225
26/07/2015	13	18.913
26/07/2015	14	19.246
26/07/2015	15	19.08
26/07/2015	16	18.509
26/07/2015	17	15.915
26/07/2015	18	14.721
26/07/2015	19	13.762
26/07/2015	20	12.437
26/07/2015	21	12.171
26/07/2015	22	11.443
26/07/2015	23	9.682
27/07/2015	0	9.238
27/07/2015	1	10.198
27/07/2015	2	10.59
27/07/2015	3	9.608
27/07/2015	4	8.319
27/07/2015	5	10.051
27/07/2015	6	7.82
27/07/2015	7	5.975
27/07/2015	8	11.37
27/07/2015	9	12.485
27/07/2015	10	12.63
27/07/2015	11	13.305
27/07/2015	12	14.912
27/07/2015	13	16.272
27/07/2015	14	14.864
27/07/2015	15	14.242
27/07/2015	16	13.714
27/07/2015	17	12.461
27/07/2015	18	11.127
27/07/2015	19	11.102
27/07/2015	20	10.565
27/07/2015	21	11.734
27/07/2015	22	11.443
27/07/2015	23	11.734
28/07/2015	0	11.419
28/07/2015	1	11.175
