StartDate	HardSeedAssessDate	Plot	Block	Cultivar	SowTreat	SowingD	depth 	round	Imbibed	GermAssessDate 	embGerminated	Dead	SeedNumber
NA	NA	34	3	Woogenellup	S2	28/07/2015	up	1	27	NA	NA	NA	50
NA	NA	34	3	Woogenellup	S2	28/07/2015	up	2	NA	NA	NA	NA	NA
NA	NA	34	3	Woogenellup	S2	28/07/2015	up	3	NA	NA	NA	NA	NA
NA	NA	34	3	Woogenellup	S2	28/07/2015	up	4	NA	NA	NA	NA	NA
NA	NA	34	3	Woogenellup	S2	28/07/2015	up	5	NA	NA	NA	NA	NA
NA	NA	35	3	Leura	S2	28/07/2015	up	1	6	NA	NA	NA	50
NA	NA	35	3	Leura	S2	28/07/2015	up	2	NA	NA	NA	NA	NA
NA	NA	35	3	Leura	S2	28/07/2015	up	3	NA	NA	NA	NA	NA
NA	NA	35	3	Leura	S2	28/07/2015	up	4	NA	NA	NA	NA	NA
NA	NA	35	3	Leura	S2	28/07/2015	up	5	NA	NA	NA	NA	NA
NA	NA	36	3	Narrikup	S2	28/07/2015	up	1	34	NA	NA	NA	50
NA	NA	36	3	Narrikup	S2	28/07/2015	up	2	NA	NA	NA	NA	NA
NA	NA	36	3	Narrikup	S2	28/07/2015	up	3	NA	NA	NA	NA	NA
NA	NA	36	3	Narrikup	S2	28/07/2015	up	4	NA	NA	NA	NA	NA
NA	NA	36	3	Narrikup	S2	28/07/2015	up	5	NA	NA	NA	NA	NA
NA	NA	19	1	Narrikup	S2	28/07/2015	down	1	19	NA	NA	NA	50
NA	NA	19	1	Narrikup	S2	28/07/2015	down	2	NA	NA	NA	NA	NA
NA	NA	19	1	Narrikup	S2	28/07/2015	down	3	NA	NA	NA	NA	NA
NA	NA	19	1	Narrikup	S2	28/07/2015	down	4	NA	NA	NA	NA	NA
NA	NA	19	1	Narrikup	S2	28/07/2015	down	5	NA	NA	NA	NA	NA
NA	NA	20	1	Monti	S2	28/07/2015	down	1	8	NA	NA	NA	50
NA	NA	20	1	Monti	S2	28/07/2015	down	2	NA	NA	NA	NA	NA
NA	NA	20	1	Monti	S2	28/07/2015	down	3	NA	NA	NA	NA	NA
NA	NA	20	1	Monti	S2	28/07/2015	down	4	NA	NA	NA	NA	NA
NA	NA	20	1	Monti	S2	28/07/2015	down	5	NA	NA	NA	NA	NA
NA	NA	21	1	Woogenellup	S2	28/07/2015	down	1	7	NA	NA	NA	50
NA	NA	21	1	Woogenellup	S2	28/07/2015	down	2	NA	NA	NA	NA	NA
NA	NA	21	1	Woogenellup	S2	28/07/2015	down	3	NA	NA	NA	NA	NA
NA	NA	21	1	Woogenellup	S2	28/07/2015	down	4	NA	NA	NA	NA	NA
NA	NA	21	1	Woogenellup	S2	28/07/2015	down	5	NA	NA	NA	NA	NA
NA	NA	22	1	Leura	S2	28/07/2015	down	1	6	NA	NA	NA	50
NA	NA	22	1	Leura	S2	28/07/2015	down	2	NA	NA	NA	NA	NA
NA	NA	22	1	Leura	S2	28/07/2015	down	3	NA	NA	NA	NA	NA
