Temp	Cv	rep	startDate 	DateRead	CountedGerm 	HoursofTest	PercentGerm
30	Narrikup	1	17/07/15	19/07/15	0	61.00	0
30	Narrikup	2	17/07/15	19/07/15	0	61.00	0
30	Narrikup	3	17/07/15	19/07/15	0	61.00	0
30	Narrikup	4	17/07/15	19/07/15	0	61.00	0
30	Antas	1	17/07/15	20/07/15	2	85.00	4
30	Antas	2	17/07/15	20/07/15	4	85.00	8
30	Antas	3	17/07/15	20/07/15	3	85.00	6
30	Antas	4	17/07/15	20/07/15	0	85.00	0
30	Denmark	1	17/07/15	20/07/15	0	85.00	0
30	Denmark	2	17/07/15	20/07/15	1	85.00	2
30	Denmark	3	17/07/15	20/07/15	2	85.00	4
30	Denmark	4	17/07/15	20/07/15	3	85.00	6
30	Monti	1	17/07/15	20/07/15	1	85.00	2
30	Monti	2	17/07/15	20/07/15	0	85.00	0
30	Monti	3	17/07/15	20/07/15	1	85.00	2
30	Monti	4	17/07/15	20/07/15	0	85.00	0
30	Narrikup	1	17/07/15	20/07/15	0	85.00	0
30	Narrikup	2	17/07/15	20/07/15	0	85.00	0
30	Narrikup	3	17/07/15	20/07/15	1	85.00	2
30	Narrikup	4	17/07/15	20/07/15	0	85.00	0
30	Antas	1	17/07/15	21/07/15	6	109.00	12
30	Antas	2	17/07/15	21/07/15	6	109.00	12
30	Antas	3	17/07/15	21/07/15	4	109.00	8
30	Antas	4	17/07/15	21/07/15	1	109.00	2
30	Denmark	1	17/07/15	21/07/15	4	109.00	8
30	Denmark	2	17/07/15	21/07/15	6	109.00	12
30	Denmark	3	17/07/15	21/07/15	2	109.00	4
30	Denmark	4	17/07/15	21/07/15	4	109.00	8
30	Monti	1	17/07/15	21/07/15	1	109.00	2
30	Monti	2	17/07/15	21/07/15	1	109.00	2
30	Monti	3	17/07/15	21/07/15	3	109.00	6
30	Monti	4	17/07/15	21/07/15	2	109.00	4
30	Narrikup	1	17/07/15	21/07/15	0	109.00	0
30	Narrikup	2	17/07/15	21/07/15	1	109.00	2
30	Narrikup	3	17/07/15	21/07/15	1	109.00	2
30	Narrikup	4	17/07/15	21/07/15	0	109.00	0
30	Antas	1	17/07/15	22/07/15	7	133.00	14
30	Antas	2	17/07/15	22/07/15	8	133.00	16
30	Antas	3	17/07/15	22/07/15	1	133.00	2
30	Antas	4	17/07/15	22/07/15	2	133.00	4
30	Denmark	1	17/07/15	22/07/15	5	133.00	10
30	Denmark	2	17/07/15	22/07/15	2	133.00	4
30	Denmark	3	17/07/15	22/07/15	1	133.00	2
30	Denmark	4	17/07/15	22/07/15	2	133.00	4
30	Monti	1	17/07/15	22/07/15	0	133.00	0
30	Monti	2	17/07/15	22/07/15	1	133.00	2
30	Monti	3	17/07/15	22/07/15	2	133.00	4
30	Monti	4	17/07/15	22/07/15	1	133.00	2
30	Narrikup	1	17/07/15	22/07/15	0	133.00	0
30	Narrikup	2	17/07/15	22/07/15	0	133.00	0
30	Narrikup	3	17/07/15	22/07/15	0	133.00	0
30	Narrikup	4	17/07/15	22/07/15	1	133.00	2
30	Antas	1	17/07/15	23/07/15	8	157.00	16
30	Antas	2	17/07/15	23/07/15	13	157.00	26
30	Antas	3	17/07/15	23/07/15	3	157.00	6
30	Antas	4	17/07/15	23/07/15	4	157.00	8
30	Denmark	1	17/07/15	23/07/15	3	157.00	6
30	Denmark	2	17/07/15	23/07/15	3	157.00	6
30	Denmark	3	17/07/15	23/07/15	2	157.00	4
30	Denmark	4	17/07/15	23/07/15	2	157.00	4
30	Monti	1	17/07/15	23/07/15	1	157.00	2
30	Monti	2	17/07/15	23/07/15	2	157.00	4
30	Monti	3	17/07/15	23/07/15	2	157.00	4
30	Monti	4	17/07/15	23/07/15	1	157.00	2
30	Narrikup	1	17/07/15	23/07/15	2	157.00	4
30	Narrikup	2	17/07/15	23/07/15	0	157.00	0
30	Narrikup	3	17/07/15	23/07/15	1	157.00	2
