"date" "hour" "Air"
"598" 2015-07-25 14 11.248
"599" 2015-07-25 15 10.883
"600" 2015-07-25 16 10.541
"601" 2015-07-25 17 10.051
"602" 2015-07-25 18 9.78
"603" 2015-07-25 19 9.41
"604" 2015-07-25 20 9.262
"605" 2015-07-25 21 8.742
"606" 2015-07-25 22 9.089
"607" 2015-07-25 23 9.78
"608" 2015-07-26 0 10.345
"609" 2015-07-26 1 10.858
"610" 2015-07-26 2 10.785
"611" 2015-07-26 3 11.492
"612" 2015-07-26 4 11.977
"613" 2015-07-26 5 12.292
"614" 2015-07-26 6 12.485
"615" 2015-07-26 7 12.485
"616" 2015-07-26 8 12.074
"617" 2015-07-26 9 12.992
"618" 2015-07-26 10 14.84
"619" 2015-07-26 11 16.892
"620" 2015-07-26 12 16.225
"621" 2015-07-26 13 18.913
"622" 2015-07-26 14 19.246
"623" 2015-07-26 15 19.08
"624" 2015-07-26 16 18.509
"625" 2015-07-26 17 15.915
"626" 2015-07-26 18 14.721
"627" 2015-07-26 19 13.762
"628" 2015-07-26 20 12.437
"629" 2015-07-26 21 12.171
"630" 2015-07-26 22 11.443
"631" 2015-07-26 23 9.682
"632" 2015-07-27 0 9.238
"633" 2015-07-27 1 10.198
"634" 2015-07-27 2 10.59
"635" 2015-07-27 3 9.608
"636" 2015-07-27 4 8.319
"637" 2015-07-27 5 10.051
"638" 2015-07-27 6 7.82
"639" 2015-07-27 7 5.975
"640" 2015-07-27 8 11.37
"641" 2015-07-27 9 12.485
"642" 2015-07-27 10 12.63
"643" 2015-07-27 11 13.305
"644" 2015-07-27 12 14.912
"645" 2015-07-27 13 16.272
"646" 2015-07-27 14 14.864
"647" 2015-07-27 15 14.242
"648" 2015-07-27 16 13.714
"649" 2015-07-27 17 12.461
"650" 2015-07-27 18 11.127
"651" 2015-07-27 19 11.102
"652" 2015-07-27 20 10.565
"653" 2015-07-27 21 11.734
"654" 2015-07-27 22 11.443
"655" 2015-07-27 23 11.734
"656" 2015-07-28 0 11.419
"657" 2015-07-28 1 11.175
"658" 2015-07-28 2 11.297
"659" 2015-07-28 3 10.638
"660" 2015-07-28 4 11.565
"661" 2015-07-28 5 10.173
"662" 2015-07-28 6 8.965
"663" 2015-07-28 7 8.095
"664" 2015-07-28 8 4.272
"665" 2015-07-28 9 6.026
"666" 2015-07-28 10 11.37
"667" 2015-07-28 11 13.233
"668" 2015-07-28 12 13.281
"669" 2015-07-28 13 12.678
"670" 2015-07-28 14 11.321
"671" 2015-07-28 15 10.026
"672" 2015-07-28 16 10.001
"673" 2015-07-28 17 9.139
"674" 2015-07-28 18 8.593
"675" 2015-07-28 19 7.87
"676" 2015-07-28 20 8.17
"677" 2015-07-28 21 7.82
"678" 2015-07-28 22 7.67
"679" 2015-07-28 23 7.192
"680" 2015-07-29 0 6.763
"681" 2015-07-29 1 6.509
"682" 2015-07-29 2 5.591
"683" 2015-07-29 3 3.906
"684" 2015-07-29 4 3.958
"685" 2015-07-29 5 3.617
"686" 2015-07-29 6 3.168
"687" 2015-07-29 7 2.343
"688" 2015-07-29 8 4.194
"689" 2015-07-29 9 5.154
"690" 2015-07-29 10 6.813
"691" 2015-07-29 11 8.891
"692" 2015-07-29 12 10.761
"693" 2015-07-29 13 10.173
"694" 2015-07-29 14 9.706
"695" 2015-07-29 15 8.543
"696" 2015-07-29 16 7.645
"697" 2015-07-29 17 6.484
"698" 2015-07-29 18 6.484
"699" 2015-07-29 19 6.23
"700" 2015-07-29 20 5.385
"701" 2015-07-29 21 5.745
"702" 2015-07-29 22 5.539
"703" 2015-07-29 23 5.231
"704" 2015-07-30 0 3.142
"705" 2015-07-30 1 2.128
"706" 2015-07-30 2 1.371
"707" 2015-07-30 3 1.344
"708" 2015-07-30 4 1.071
"709" 2015-07-30 5 -0.704
"710" 2015-07-30 6 -0.93
"711" 2015-07-30 7 -0.339
"712" 2015-07-30 8 -0.789
"713" 2015-07-30 9 2.637
"714" 2015-07-30 10 4.454
"715" 2015-07-30 11 7.066
"716" 2015-07-30 12 9.435
"717" 2015-07-30 13 9.262
"718" 2015-07-30 14 9.608
"719" 2015-07-30 15 10.026
"720" 2015-07-30 16 9.139
"721" 2015-07-30 17 7.293
"722" 2015-07-30 18 5.591
"723" 2015-07-30 19 3.88
"724" 2015-07-30 20 4.324
"725" 2015-07-30 21 4.168
"726" 2015-07-30 22 3.354
"727" 2015-07-30 23 4.063
"728" 2015-07-31 0 4.089
"729" 2015-07-31 1 2.343
"730" 2015-07-31 2 1.615
"731" 2015-07-31 3 2.53
"732" 2015-07-31 4 2.797
"733" 2015-07-31 5 3.406
"734" 2015-07-31 6 2.797
"735" 2015-07-31 7 2.316
"736" 2015-07-31 8 2.637
"737" 2015-07-31 9 4.558
"738" 2015-07-31 10 7.091
"739" 2015-07-31 11 8.717
"740" 2015-07-31 12 10.124
"741" 2015-07-31 13 11.273
"742" 2015-07-31 14 11.175
"743" 2015-07-31 15 11.54
"744" 2015-07-31 16 11.248
"745" 2015-07-31 17 9.139
"746" 2015-07-31 18 7.619
"747" 2015-07-31 19 8.519
"748" 2015-07-31 20 7.142
"749" 2015-07-31 21 7.594
"750" 2015-07-31 22 7.945
"751" 2015-07-31 23 7.92
"752" 2015-08-01 0 7.015
"753" 2015-08-01 1 6.153
"754" 2015-08-01 2 7.242
"755" 2015-08-01 3 7.494
"756" 2015-08-01 4 8.965
"757" 2015-08-01 5 9.238
"758" 2015-08-01 6 8.618
"759" 2015-08-01 7 12.509
"760" 2015-08-01 8 10.81
"761" 2015-08-01 9 8.941
"762" 2015-08-01 10 9.928
"763" 2015-08-01 11 10.712
"764" 2015-08-01 12 11.783
"765" 2015-08-01 13 11.856
"766" 2015-08-01 14 11.734
"767" 2015-08-01 15 11.734
"768" 2015-08-01 16 10.736
"769" 2015-08-01 17 9.064
"770" 2015-08-01 18 6.763
"771" 2015-08-01 19 6.99
"772" 2015-08-01 20 6.914
"773" 2015-08-01 21 7.091
"774" 2015-08-01 22 6.889
"775" 2015-08-01 23 6.331
"776" 2015-08-02 0 6.433
"777" 2015-08-02 1 6.331
"778" 2015-08-02 2 5.924
"779" 2015-08-02 3 6.051
