"Cultivar" "SowTreat" "DAS" "av_Perc" "av_TT" "av_DAS"
"465" "Woogenellup" "S5" 2 0 22.4515000000001 2
"466" "Woogenellup" "S5" 3 9.04 34.3390000000002 3
"467" "Woogenellup" "S5" 5 67.8 60.3395 5
"468" "Woogenellup" "S5" 8 90.0166666666667 109.367 8
"469" "Woogenellup" "S5" 11 92.25 155.5575 11
"470" "Woogenellup" "S5" 14 94.4366666666667 200.301 14
"471" "Woogenellup" "S5" 16 91.79 225.3835 16
"472" "Woogenellup" "S5" 19 94.4366666666667 272.0835 19
"473" "Woogenellup" "S6" 0 0 0 0
"474" "Woogenellup" "S6" 5 27.3666666666667 94.395 5
"475" "Woogenellup" "S6" 7 96.8466666666667 134.7865 7
"476" "Woogenellup" "S6" 9 72.9333333333333 183.7295 9
"477" "Woogenellup" "S6" 11 87.8966666666667 224.2655 11
"478" "Woogenellup" "S6" 13 95.6533333333333 251.6395 13
"479" "Woogenellup" "S6" 16 96.8466666666667 297.294 16
"480" "Woogenellup" "S6" 19 96.8466666666667 355.146 19
"481" "Woogenellup" "S7" 0 0 0 0
"482" "Woogenellup" "S7" 2 0 22.4110000000001 2
"483" "Woogenellup" "S7" 5 14.7466666666667 83.471 5
"484" "Woogenellup" "S7" 7 45.3533333333333 125.8575 7
"485" "Woogenellup" "S7" 9 84.5566666666667 161.373 9
"486" "Woogenellup" "S7" 10 84.5566666666667 173.9405 10
"487" "Woogenellup" "S7" 11 100 186.613 11
"488" "Woogenellup" "S7" 17 100 276.5555 17
"489" "Woogenellup" "S8" 0 0 0 0
"490" "Woogenellup" "S8" 7 1.96 103.0635 7
"491" "Woogenellup" "S8" 9 23.03 136.5005 9
"492" "Woogenellup" "S8" 12 49.22 177.7455 12
"493" "Woogenellup" "S8" 14 58.3833333333333 197.7555 14
"494" "Woogenellup" "S8" 16 55.29 219.129 16
