"Plot" "Cultivar" "SowingD" "SowTreat" "sample_area_m2" "Block" "Depth" "bur_total_weight_g" "bur_no_subSample" "bur_weight_subSample_g" "seed_weight_g" "Seedskg_ha"
108 "Monti" "17/02/2016" "S6" 0.13 3 "Below" 5.1 50 2.25 0.6 104.615384615385
109 "Denmark" "15/03/2016" "S7" 0.13 1 "Above" 10.57 50 2.42 0.998 335.310235219326
109 "Denmark" "15/03/2016" "S7" 0.13 1 "Below" 1.59 43 1.59 0.531 40.8461538461538
110 "Antas" "15/03/2016" "S7" 0.13 1 "Above" 6.17 50 3.54 0.55 73.7396784006954
110 "Antas" "15/03/2016" "S7" 0.13 1 "Below" 3.99 55 3.99 0.43 33.0769230769231
111 "Woogenellup" "15/03/2016" "S7" 0.13 1 "Above" 1.75 50 1.15 0.28 32.7759197324415
111 "Woogenellup" "15/03/2016" "S7" 0.13 1 "Below" 1.13 36 1.13 0.174 13.3846153846154
112 "Leura" "15/03/2016" "S7" 0.13 1 "Above" 18.08 50 3.55 1.373 537.894691224269
112 "Leura" "15/03/2016" "S7" 0.13 1 "Below" 9.68 50 2.97 0.985 246.951566951567
113 "Narrikup" "15/03/2016" "S7" 0.13 1 "Above" 4.11 50 0.89 0.252 89.5177182368194
113 "Narrikup" "15/03/2016" "S7" 0.13 1 "Below" 2.01 50 1.24 0.22 27.4317617866005
114 "Monti" "15/03/2016" "S7" 0.13 1 "Above" 19.57 50 3.24 1.274 591.932098765432
114 "Monti" "15/03/2016" "S7" 0.13 1 "Below" 40.71 50 3.86 1.025 831.561379035472
115 "Woogenellup" "15/03/2016" "S7" 0.13 2 "Above" 1.67 50 1.16 0.293 32.4476127320955
115 "Woogenellup" "15/03/2016" "S7" 0.13 2 "Below" 0.96 60 0.96 0.461 35.4615384615385
116 "Leura" "15/03/2016" "S7" 0.13 2 "Above" 10.11 50 2.63 1.072 316.990933021351
116 "Leura" "15/03/2016" "S7" 0.13 2 "Below" 3.14 67 3.14 1.003 77.1538461538461
117 "Narrikup" "15/03/2016" "S7" 0.13 2 "Above" 4.53 50 1.12 0.213 66.2699175824176
117 "Narrikup" "15/03/2016" "S7" 0.13 2 "Below" 3.24 98 3.24 1.017 78.2307692307692
118 "Antas" "15/03/2016" "S7" 0.13 2 "Above" 7.47 50 3.84 0.611 91.4296875
118 "Antas" "15/03/2016" "S7" 0.13 2 "Below" 2.62 30 2.62 0.355 27.3076923076923
