Cultivar 	Wavelength	Absorbance
Antas 	3085.56962	0.02773
Antas 	3083.64114	0.02759
Antas 	3081.71266	0.02746
Antas 	3079.78418	0.0273
Antas 	3077.8557	0.02712
Antas 	3075.92722	0.02695
Antas 	3073.99874	0.02681
Antas 	3072.07025	0.02669
Antas 	3070.14177	0.02656
Antas 	3068.21329	0.02642
Antas 	3066.28481	0.02626
Antas 	3064.35633	0.02607
Antas 	3062.42785	0.02588
Antas 	3060.49937	0.02574
Antas 	3058.57089	0.0256
Antas 	3056.64241	0.02544
Antas 	3054.71393	0.02527
Antas 	3052.78544	0.0251
Antas 	3050.85696	0.02494
Antas 	3048.92848	0.02478
Antas 	3047	0.02462
Antas 	3045.07152	0.02446
Antas 	3043.14304	0.02433
Antas 	3041.21456	0.02419
Antas 	3039.28608	0.02405
Antas 	3037.3576	0.0239
Antas 	3035.42912	0.02375
Antas 	3033.50063	0.02362
Antas 	3031.57215	0.02351
Antas 	3029.64367	0.02339
Antas 	3027.71519	0.02328
Antas 	3025.78671	0.02319
Antas 	3023.85823	0.02313
Antas 	3021.92975	0.02306
Antas 	3020.00127	0.02296
Antas 	3018.07279	0.02288
Antas 	3016.14431	0.02287
Antas 	3014.21582	0.0229
Antas 	3012.28734	0.02292
Antas 	3010.35886	0.02292
Antas 	3008.43038	0.02293
Antas 	3006.5019	0.02296
Antas 	3004.57342	0.02301
Antas 	3002.64494	0.0231
Antas 	3000.71646	0.0232
Antas 	2998.78798	0.02332
Antas 	2996.85949	0.02345
Antas 	2994.93101	0.02361
Antas 	2993.00253	0.02379
Antas 	2991.07405	0.02397
Antas 	2989.14557	0.02416
Antas 	2987.21709	0.02437
Antas 	2985.28861	0.0246
Antas 	2983.36013	0.02484
Antas 	2981.43165	0.02508
Antas 	2979.50317	0.02533
Antas 	2977.57468	0.02564
Antas 	2975.6462	0.02605
Antas 	2973.71772	0.02655
Antas 	2971.78924	0.02716
Antas 	2969.86076	0.02786
Antas 	2967.93228	0.02864
Antas 	2966.0038	0.02948
Antas 	2964.07532	0.03036
Antas 	2962.14684	0.0313
Antas 	2960.21836	0.03229
Antas 	2958.28987	0.03331
Antas 	2956.36139	0.03435
Antas 	2954.43291	0.03542
Antas 	2952.50443	0.03655
Antas 	2950.57595	0.03771
Antas 	2948.64747	0.0389
Antas 	2946.71899	0.04013
Antas 	2944.79051	0.04142
Antas 	2942.86203	0.04275
Antas 	2940.93355	0.04411
Antas 	2939.00506	0.04545
Antas 	2937.07658	0.04673
Antas 	2935.1481	0.04793
Antas 	2933.21962	0.049
Antas 	2931.29114	0.04989
Antas 	2929.36266	0.05054
Antas 	2927.43418	0.05092
Antas 	2925.5057	0.05103
Antas 	2923.57722	0.05083
