Cultivar	IncubationDays 	Wavelenght	Absorbance
Antas 	0	3226.34874	0.05238
Antas 	0	3224.42025	0.05221
Antas 	0	3222.49177	0.05199
Antas 	0	3220.56329	0.05173
Antas 	0	3218.63481	0.05148
Antas 	0	3216.70633	0.05127
Antas 	0	3214.77785	0.05109
Antas 	0	3212.84937	0.05091
Antas 	0	3210.92089	0.05071
Antas 	0	3208.99241	0.05045
Antas 	0	3207.06393	0.05012
Antas 	0	3205.13544	0.04982
Antas 	0	3203.20696	0.04958
Antas 	0	3201.27848	0.04934
Antas 	0	3199.35	0.04905
Antas 	0	3197.42152	0.04878
Antas 	0	3195.49304	0.04853
Antas 	0	3193.56456	0.04823
Antas 	0	3191.63608	0.04786
Antas 	0	3189.7076	0.04745
Antas 	0	3187.77912	0.04712
Antas 	0	3185.85063	0.04686
Antas 	0	3183.92215	0.0466
Antas 	0	3181.99367	0.04631
Antas 	0	3180.06519	0.04599
Antas 	0	3178.13671	0.04572
Antas 	0	3176.20823	0.0455
Antas 	0	3174.27975	0.04519
Antas 	0	3172.35127	0.04485
Antas 	0	3170.42279	0.0446
Antas 	0	3168.49431	0.04435
Antas 	0	3166.56582	0.04398
Antas 	0	3164.63734	0.04358
Antas 	0	3162.70886	0.04323
Antas 	0	3160.78038	0.04293
Antas 	0	3158.8519	0.04263
Antas 	0	3156.92342	0.0423
Antas 	0	3154.99494	0.04196
Antas 	0	3153.06646	0.04165
Antas 	0	3151.13798	0.04133
Antas 	0	3149.20949	0.041
Antas 	0	3147.28101	0.0407
Antas 	0	3145.35253	0.04042
Antas 	0	3143.42405	0.04015
Antas 	0	3141.49557	0.03982
Antas 	0	3139.56709	0.0395
Antas 	0	3137.63861	0.03924
Antas 	0	3135.71013	0.03895
Antas 	0	3133.78165	0.03859
Antas 	0	3131.85317	0.03823
Antas 	0	3129.92468	0.03788
Antas 	0	3127.9962	0.03757
Antas 	0	3126.06772	0.0373
Antas 	0	3124.13924	0.03705
Antas 	0	3122.21076	0.03675
Antas 	0	3120.28228	0.03642
Antas 	0	3118.3538	0.03613
Antas 	0	3116.42532	0.03585
Antas 	0	3114.49684	0.03554
Antas 	0	3112.56836	0.03524
Antas 	0	3110.63987	0.03501
Antas 	0	3108.71139	0.03482
Antas 	0	3106.78291	0.03463
Antas 	0	3104.85443	0.03439
Antas 	0	3102.92595	0.03411
Antas 	0	3100.99747	0.03385
Antas 	0	3099.06899	0.03361
Antas 	0	3097.14051	0.03338
Antas 	0	3095.21203	0.03316
Antas 	0	3093.28355	0.03294
Antas 	0	3091.35506	0.03272
Antas 	0	3089.42658	0.03249
Antas 	0	3087.4981	0.03224
Antas 	0	3085.56962	0.03197
Antas 	0	3083.64114	0.03171
Antas 	0	3081.71266	0.03149
Antas 	0	3079.78418	0.03132
Antas 	0	3077.8557	0.03116
Antas 	0	3075.92722	0.03096
Antas 	0	3073.99874	0.03071
Antas 	0	3072.07025	0.03046
Antas 	0	3070.14177	0.03022
Antas 	0	3068.21329	0.02994
Antas 	0	3066.28481	0.02966
Antas 	0	3064.35633	0.02939
Antas 	0	3062.42785	0.02913
Antas 	0	3060.49937	0.02887
Antas 	0	3058.57089	0.02863
Antas 	0	3056.64241	0.02839
Antas 	0	3054.71393	0.02813
Antas 	0	3052.78544	0.0278
Antas 	0	3050.85696	0.02744
Antas 	0	3048.92848	0.02713
Antas 	0	3047	0.02689
Antas 	0	3045.07152	0.02668
Antas 	0	3043.14304	0.02648
Antas 	0	3041.21456	0.02622
Antas 	0	3039.28608	0.02588
Antas 	0	3037.3576	0.02555
Antas 	0	3035.42912	0.02529
Antas 	0	3033.50063	0.02506
Antas 	0	3031.57215	0.02486
Antas 	0	3029.64367	0.02467
Antas 	0	3027.71519	0.02447
Antas 	0	3025.78671	0.02428
Antas 	0	3023.85823	0.02411
Antas 	0	3021.92975	0.02394
Antas 	0	3020.00127	0.0237
Antas 	0	3018.07279	0.02342
Antas 	0	3016.14431	0.02319
Antas 	0	3014.21582	0.02301
Antas 	0	3012.28734	0.02283
Antas 	0	3010.35886	0.02268
Antas 	0	3008.43038	0.02255
Antas 	0	3006.5019	0.0224
Antas 	0	3004.57342	0.0223
Antas 	0	3002.64494	0.02223
Antas 	0	3000.71646	0.0221
Antas 	0	2998.78798	0.02199
Antas 	0	2996.85949	0.02201
Antas 	0	2994.93101	0.02215
Antas 	0	2993.00253	0.02231
Antas 	0	2991.07405	0.02244
Antas 	0	2989.14557	0.02257
Antas 	0	2987.21709	0.02276
Antas 	0	2985.28861	0.02304
Antas 	0	2983.36013	0.02342
Antas 	0	2981.43165	0.02385
Antas 	0	2979.50317	0.02432
Antas 	0	2977.57468	0.02483
Antas 	0	2975.6462	0.02542
Antas 	0	2973.71772	0.02615
Antas 	0	2971.78924	0.027
Antas 	0	2969.86076	0.02794
Antas 	0	2967.93228	0.02897
Antas 	0	2966.0038	0.03011
Antas 	0	2964.07532	0.0314
Antas 	0	2962.14684	0.03278
Antas 	0	2960.21836	0.0342
Antas 	0	2958.28987	0.03573
Antas 	0	2956.36139	0.03741
Antas 	0	2954.43291	0.03918
Antas 	0	2952.50443	0.04104
Antas 	0	2950.57595	0.04299
Antas 	0	2948.64747	0.04503
Antas 	0	2946.71899	0.0471
Antas 	0	2944.79051	0.04925
Antas 	0	2942.86203	0.05147
Antas 	0	2940.93355	0.0537
Antas 	0	2939.00506	0.05586
Antas 	0	2937.07658	0.05796
Antas 	0	2935.1481	0.05993
Antas 	0	2933.21962	0.06164
Antas 	0	2931.29114	0.06291
Antas 	0	2929.36266	0.0636
Antas 	0	2927.43418	0.06379
Antas 	0	2925.5057	0.06356
Antas 	0	2923.57722	0.06289
Antas 	0	2921.64874	0.06172
Antas 	0	2919.72025	0.06004
Antas 	0	2917.79177	0.05784
Antas 	0	2915.86329	0.05523
Antas 	0	2913.93481	0.05249
Antas 	0	2912.00633	0.04997
Antas 	0	2910.07785	0.04783
Antas 	0	2908.14937	0.04607
Antas 	0	2906.22089	0.04458
Antas 	0	2904.29241	0.04324
Antas 	0	2902.36393	0.04195
Antas 	0	2900.43544	0.04068
Antas 	0	2898.50696	0.03946
Antas 	0	2896.57848	0.03833
Antas 	0	2894.65	0.03722
Antas 	0	2892.72152	0.0361
Antas 	0	2890.79304	0.03504
Antas 	0	2888.86456	0.03413
Antas 	0	2886.93608	0.03335
Antas 	0	2885.0076	0.03271
Antas 	0	2883.07912	0.03218
Antas 	0	2881.15063	0.0318
Antas 	0	2879.22215	0.03163
Antas 	0	2877.29367	0.0317
Antas 	0	2875.36519	0.03202
Antas 	0	2873.43671	0.03258
Antas 	0	2871.50823	0.03335
Antas 	0	2869.57975	0.03429
Antas 	0	2867.65127	0.03544
Antas 	0	2865.72279	0.03681
Antas 	0	2863.7943	0.03833
Antas 	0	2861.86582	0.03991
Antas 	0	2859.93734	0.04144
Antas 	0	2858.00886	0.04271
Antas 	0	2856.08038	0.04341
Antas 	0	2854.1519	0.04341
Antas 	0	2852.22342	0.04261
Antas 	0	2850.29494	0.04078
Antas 	0	2848.36646	0.03796
Antas 	0	2846.43798	0.03469
Antas 	0	2844.50949	0.03151
Antas 	0	2842.58101	0.02872
Antas 	0	2840.65253	0.02645
Antas 	0	2838.72405	0.02466
Antas 	0	2836.79557	0.02324
Antas 	0	2834.86709	0.02212
Antas 	0	2832.93861	0.02123
Antas 	0	2831.01013	0.02053
Antas 	0	2829.08165	0.02001
Antas 	0	2827.15317	0.01962
Antas 	0	2825.22468	0.01928
Antas 	0	2823.2962	0.01895
Antas 	0	2821.36772	0.01864
Antas 	0	2819.43924	0.01832
Antas 	0	2817.51076	0.01802
Antas 	0	2815.58228	0.01775
Antas 	0	2813.6538	0.0175
Antas 	0	2811.72532	0.01728
Antas 	0	2809.79684	0.01708
Antas 	0	2807.86836	0.0169
Antas 	0	2805.93987	0.01674
Antas 	0	2804.01139	0.01658
Antas 	0	2802.08291	0.01642
Antas 	0	2800.15443	0.01621
Antas 	0	2798.22595	0.01598
Antas 	0	2796.29747	0.0158
Antas 	0	2794.36899	0.01566
Antas 	0	2792.44051	0.0155
Antas 	0	2790.51203	0.01536
Antas 	0	2788.58355	0.01526
Antas 	0	2786.65506	0.01517
Antas 	0	2784.72658	0.01506
Antas 	0	2782.7981	0.01493
Antas 	0	2780.86962	0.01482
Antas 	0	2778.94114	0.01471
Antas 	0	2777.01266	0.01457
Antas 	0	2775.08418	0.01442
Antas 	0	2773.1557	0.0143
Antas 	0	2771.22722	0.01422
Antas 	0	2769.29874	0.01419
Antas 	0	2767.37025	0.01413
Antas 	0	2765.44177	0.01399
