wavelength	spc
3407.83681	0.05154
3405.90821	0.05163
3403.97961	0.05172
3402.05101	0.05181
3400.12241	0.05187
3398.19381	0.05192
3396.26521	0.05197
3394.33661	0.05200
3392.40801	0.05202
3390.47941	0.05207
3388.55081	0.05216
3386.62221	0.05227
3384.69361	0.05241
3382.76500	0.05247
3380.83640	0.05243
3378.90780	0.05235
3376.97920	0.05229
3375.05060	0.05228
3373.12200	0.05236
3371.19340	0.05242
3369.26480	0.05240
3367.33620	0.05237
3365.40760	0.05240
3363.47900	0.05247
3361.55040	0.05249
3359.62180	0.05248
3357.69320	0.05248
3355.76460	0.05248
3353.83600	0.05239
3351.90740	0.05232
3349.97880	0.05231
3348.05020	0.05231
3346.12160	0.05226
3344.19300	0.05224
3342.26440	0.05225
3340.33580	0.05224
3338.40720	0.05221
3336.47860	0.05223
3334.55000	0.05225
3332.62140	0.05216
3330.69280	0.05203
3328.76420	0.05197
3326.83559	0.05190
3324.90699	0.05180
3322.97839	0.05170
3321.04979	0.05158
3319.12119	0.05141
3317.19259	0.05123
3315.26399	0.05112
3313.33539	0.05109
3311.40679	0.05104
3309.47819	0.05094
3307.54959	0.05082
3305.62099	0.05070
3303.69239	0.05062
3301.76379	0.05062
3299.83519	0.05061
3297.90659	0.05052
3295.97799	0.05042
3294.04939	0.05037
3292.12079	0.05028
3290.19219	0.05015
3288.26359	0.05005
3286.33499	0.04998
3284.40639	0.04994
3282.47779	0.04990
3280.54919	0.04983
3278.62059	0.04968
3276.69199	0.04951
3274.76339	0.04933
3272.83479	0.04916
3270.90618	0.04902
3268.97758	0.04892
3267.04898	0.04885
3265.12038	0.04876
3263.19178	0.04859
3261.26318	0.04836
3259.33458	0.04814
3257.40598	0.04801
3255.47738	0.04794
3253.54878	0.04788
3251.62018	0.04778
3249.69158	0.04758
3247.76298	0.04735
3245.83438	0.04724
3243.90578	0.04721
3241.97718	0.04714
3240.04858	0.04694
3238.11998	0.04665
3236.19138	0.04640
3234.26278	0.04623
3232.33418	0.04614
3230.40558	0.04606
3228.47698	0.04592
3226.54838	0.04573
3224.61978	0.04560
3222.69118	0.04549
3220.76258	0.04534
3218.83398	0.04520
3216.90538	0.04506
3214.97677	0.04490
3213.04817	0.04475
3211.11957	0.04464
3209.19097	0.04453
3207.26237	0.04440
3205.33377	0.04420
3203.40517	0.04399
3201.47657	0.04383
3199.54797	0.04367
3197.61937	0.04351
3195.69077	0.04337
3193.76217	0.04323
3191.83357	0.04311
3189.90497	0.04300
3187.97637	0.04279
3186.04777	0.04254
3184.11917	0.04236
3182.19057	0.04229
3180.26197	0.04219
3178.33337	0.04199
3176.40477	0.04175
3174.47617	0.04153
3172.54757	0.04137
3170.61897	0.04125
3168.69037	0.04108
3166.76177	0.04090
3164.83317	0.04074
3162.90457	0.04058
3160.97597	0.04041
3159.04736	0.04023
3157.11876	0.04005
3155.19016	0.03991
3153.26156	0.03976
3151.33296	0.03958
3149.40436	0.03938
3147.47576	0.03923
3145.54716	0.03914
3143.61856	0.03905
3141.68996	0.03893
3139.76136	0.03880
3137.83276	0.03865
3135.90416	0.03844
3133.97556	0.03823
3132.04696	0.03806
3130.11836	0.03793
3128.18976	0.03781
3126.26116	0.03769
3124.33256	0.03759
3122.40396	0.03749
3120.47536	0.03734
3118.54676	0.03717
3116.61816	0.03706
3114.68956	0.03700
3112.76096	0.03691
3110.83236	0.03676
3108.90376	0.03660
3106.97516	0.03647
3105.04656	0.03642
3103.11795	0.03633
3101.18935	0.03620
3099.26075	0.03607
3097.33215	0.03594
3095.40355	0.03582
3093.47495	0.03573
3091.54635	0.03566
3089.61775	0.03558
3087.68915	0.03548
3085.76055	0.03541
3083.83195	0.03536
3081.90335	0.03528
3079.97475	0.03521
3078.04615	0.03517
3076.11755	0.03514
3074.18895	0.03510
3072.26035	0.03504
3070.33175	0.03495
3068.40315	0.03485
3066.47455	0.03476
3064.54595	0.03468
3062.61735	0.03456
3060.68875	0.03439
3058.76015	0.03422
3056.83155	0.03410
3054.90295	0.03405
3052.97435	0.03398
3051.04575	0.03381
3049.11715	0.03365
3047.18854	0.03358
3045.25994	0.03348
3043.33134	0.03337
3041.40274	0.03331
3039.47414	0.03325
3037.54554	0.03311
3035.61694	0.03296
3033.68834	0.03286
3031.75974	0.03283
3029.83114	0.03282
3027.90254	0.03284
3025.97394	0.03288
3024.04534	0.03288
3022.11674	0.03288
3020.18814	0.03293
3018.25954	0.03300
3016.33094	0.03309
3014.40234	0.03326
3012.47374	0.03353
3010.54514	0.03383
3008.61654	0.03414
3006.68794	0.03442
3004.75934	0.03460
3002.83074	0.03468
3000.90214	0.03468
2998.97354	0.03467
2997.04494	0.03474
2995.11634	0.03488
2993.18774	0.03505
2991.25913	0.03526
2989.33053	0.03553
2987.40193	0.03588
2985.47333	0.03633
2983.54473	0.03691
2981.61613	0.03759
2979.68753	0.03832
2977.75893	0.03909
2975.83033	0.03992
2973.90173	0.04082
2971.97313	0.04176
2970.04453	0.04276
2968.11593	0.04382
2966.18733	0.04495
2964.25873	0.04619
2962.33013	0.04750
2960.40153	0.04883
2958.47293	0.05024
2956.54433	0.05184
2954.61573	0.05360
2952.68713	0.05549
2950.75853	0.05755
2948.82993	0.05982
2946.90133	0.06229
2944.97273	0.06501
2943.04413	0.06805
2941.11553	0.07141
2939.18693	0.07508
2937.25833	0.07902
2935.32972	0.08317
2933.40112	0.08752
2931.47252	0.09202
2929.54392	0.09653
2927.61532	0.10088
2925.68672	0.10500
2923.75812	0.10892
2921.82952	0.11240
2919.90092	0.11475
2917.97232	0.11489
2916.04372	0.11188
2914.11512	0.10593
2912.18652	0.09872
2910.25792	0.09208
2908.32932	0.08671
2906.40072	0.08245
2904.47212	0.07902
2902.54352	0.07619
2900.61492	0.07372
2898.68632	0.07140
2896.75772	0.06921
2894.82912	0.06718
2892.90052	0.06524
2890.97192	0.06335
2889.04332	0.06153
2887.11472	0.05983
2885.18612	0.05831
2883.25752	0.05696
2881.32892	0.05576
2879.40031	0.05478
2877.47171	0.05410
2875.54311	0.05380
2873.61451	0.05396
2871.68591	0.05455
2869.75731	0.05550
2867.82871	0.05684
2865.90011	0.05872
2863.97151	0.06123
2862.04291	0.06444
2860.11431	0.06851
2858.18571	0.07351
2856.25711	0.07929
2854.32851	0.08534
2852.39991	0.09038
2850.47131	0.09220
2848.54271	0.08918
2846.61411	0.08219
2844.68551	0.07388
2842.75691	0.06627
2840.82831	0.06010
2838.89971	0.05537
2836.97111	0.05181
2835.04251	0.04915
2833.11391	0.04711
2831.18531	0.04545
2829.25671	0.04405
2827.32811	0.04284
2825.39951	0.04179
2823.47090	0.04089
2821.54230	0.04014
2819.61370	0.03950
2817.68510	0.03892
2815.75650	0.03837
2813.82790	0.03788
2811.89930	0.03748
2809.97070	0.03712
2808.04210	0.03678
2806.11350	0.03644
2804.18490	0.03606
2802.25630	0.03565
2800.32770	0.03532
2798.39910	0.03511
2796.47050	0.03494
2794.54190	0.03474
2792.61330	0.03450
2790.68470	0.03430
2788.75610	0.03414
2786.82750	0.03399
2784.89890	0.03382
2782.97030	0.03365
2781.04170	0.03347
2779.11310	0.03329
2777.18450	0.03312
2775.25590	0.03300
2773.32730	0.03290
2771.39870	0.03281
2769.47010	0.03273
2767.54149	0.03265
2765.61289	0.03257
2763.68429	0.03252
2761.75569	0.03248
2759.82709	0.03240
2757.89849	0.03226
2755.96989	0.03211
2754.04129	0.03199
2752.11269	0.03189
2750.18409	0.03178
2748.25549	0.03172
2746.32689	0.03174
2744.39829	0.03175
2742.46969	0.03170
2740.54109	0.03165
2738.61249	0.03161
2736.68389	0.03158
2734.75529	0.03153
2732.82669	0.03146
2730.89809	0.03139
2728.96949	0.03134
2727.04089	0.03128
2725.11229	0.03121
2723.18369	0.03114
2721.25509	0.03106
2719.32649	0.03100
2717.39789	0.03096
2715.46929	0.03090
2713.54069	0.03083
2711.61208	0.03075
2709.68348	0.03068
2707.75488	0.03062
2705.82628	0.03058
2703.89768	0.03060
2701.96908	0.03066
2700.04048	0.03066
2698.11188	0.03054
2696.18328	0.03041
2694.25468	0.03038
2692.32608	0.03041
