AuthorYear 	YearExperiment	Treatcultivar	SowingDate	StartFlowering	DaysToFlower 	Ttsow	Ttflow	Tttoflower	PhotopAtSowing	PhotopAtTtTarget	PhotopAverage	TtFlowerAdjusted
Aitken1955	1952	Yarloop	8/04/1952	4/10/1952	179	NA	NA	NA	NA	NA	NA	NA
Aitken1955	1952	Clare	8/04/1952	6/10/1952	182	NA	NA	NA	NA	NA	NA	NA
Aitken1955	1952	BacchusM	8/04/1952	15/10/1952	191	NA	NA	NA	NA	NA	NA	NA
Aitken1955	1952	MtBarker	8/04/1952	3/11/1952	209	NA	NA	NA	NA	NA	NA	NA
Aitken1955	1952	Tallarook	8/04/1952	3/11/1952	209	NA	NA	NA	NA	NA	NA	NA
Evansetal1992	1987	Nungarin	3/05/1987	9/09/1987	129	1907.1	3047.5	1140.4	11.3	10.7	10.3	1140.4
Evansetal1992	1987	Dalkeith	3/05/1987	15/09/1987	135	1907.1	3101.9	1194.8	11.3	10.7	10.4	1194.8
Evansetal1992	1987	Trikkala	3/05/1987	21/09/1987	141	1907.1	3165.5	1258.4	11.3	10.7	10.4	1258.4
Evansetal1992	1987	Woogenellup	3/05/1987	25/09/1987	145	1907.1	3205.9	1298.8	11.3	10.7	10.5	1298.8
Evansetal1992	1987	Karridale	3/05/1987	4/10/1987	154	1907.1	3336.8	1429.7	11.3	10.7	10.5	1429.7
Evansetal1992	1987	Larisa	3/05/1987	8/10/1987	158	1907.1	3382.2	1475.1	11.3	10.7	10.6	1475.1
Evansetal1992	1987	Meteora	3/05/1987	14/10/1987	164	1907.1	3443.6	1536.5	11.3	10.7	10.7	1536.5
Evansetal1992	1987	MtBarker	3/05/1987	4/10/1987	154	1907.1	3336.8	1429.7	11.3	10.7	10.5	1429.7
Evansetal1992	1990	Nungarin	3/05/1990	11/08/1990	100	2421.1	3469.8	1048.7	11.6	11.2	10.8	1048.7
Evansetal1992	1990	Dalkeith	3/05/1990	4/09/1990	124	2421.1	3684.4	1263.3	11.6	11.2	10.9	1263.3
Evansetal1992	1990	Trikkala	3/05/1990	6/09/1990	126	2421.1	3708.1	1287.0	11.6	11.2	10.9	1287.0
Evansetal1992	1990	Woogenellup	3/05/1990	13/09/1990	133	2421.1	3794.7	1373.6	11.6	11.2	10.9	1373.6
Evansetal1992	1990	Karridale	3/05/1990	29/09/1990	149	2421.1	3970.0	1548.9	11.6	11.2	11.0	1548.9
Evansetal1992	1990	Larisa	3/05/1990	4/10/1990	154	2421.1	4042.4	1621.3	11.6	11.2	11.1	1621.3
Evansetal1992	1990	Meteora	3/05/1990	8/10/1990	158	2421.1	4089.5	1668.4	11.6	11.2	11.1	1668.4
Evansetal1992	1990	MtBarker	3/05/1990	30/09/1990	150	2421.1	3983.1	1562.0	11.6	11.2	11.0	1562.0
Evansetal1992	1987	Nungarin	3/06/1987	18/09/1987	107	2264.1	3131.1	867.0	10.4	10.2	10.7	867.0
Evansetal1992	1987	Dalkeith	3/06/1987	27/09/1987	116	2264.1	3229.6	965.5	10.4	10.2	10.9	965.5
Evansetal1992	1987	Trikkala	3/06/1987	6/10/1987	125	2264.1	3359.1	1095.0	10.4	10.2	11.0	1095.0
Evansetal1992	1987	Woogenellup	3/06/1987	4/10/1987	123	2264.1	3336.8	1072.7	10.4	10.2	11.0	1072.7
Evansetal1992	1987	Karridale	3/06/1987	20/10/1987	139	2264.1	3504.7	1240.6	10.4	10.2	11.3	1240.6
Evansetal1992	1987	Larisa	3/06/1987	22/10/1987	141	2264.1	3536.3	1272.3	10.4	10.2	11.3	1272.3
Evansetal1992	1987	Meteora	3/06/1987	27/10/1987	146	2264.1	3600.7	1336.6	10.4	10.2	11.4	1336.6
Evansetal1992	1987	MtBarker	3/06/1987	20/10/1987	139	2264.1	3504.7	1240.6	10.4	10.2	11.3	1240.6
Evansetal1992	1990	Nungarin	3/06/1990	7/09/1990	96	2847.1	3722.0	875.0	11.0	10.8	11.1	875.0
Evansetal1992	1990	Dalkeith	3/06/1990	9/09/1990	98	2847.1	3749.4	902.3	11.0	10.8	11.1	902.3
Evansetal1992	1990	Trikkala	3/06/1990	13/09/1990	102	2847.1	3794.7	947.6	11.0	10.8	11.2	947.6
Evansetal1992	1990	Woogenellup	3/06/1990	30/09/1990	119	2847.1	3983.1	1136.1	11.0	10.8	11.4	1136.1
Evansetal1992	1990	Karridale	3/06/1990	5/10/1990	124	2847.1	4053.2	1206.2	11.0	10.8	11.4	1206.2
Evansetal1992	1990	Larisa	3/06/1990	12/10/1990	131	2847.1	4134.6	1287.6	11.0	10.8	11.5	1287.6
Evansetal1992	1990	Meteora	3/06/1990	15/10/1990	134	2847.1	4179.6	1332.6	11.0	10.8	11.5	1332.6
Evansetal1992	1990	MtBarker	3/06/1990	6/10/1990	125	2847.1	4066.7	1219.7	11.0	10.8	11.4	1219.7
Evansetal1992	1987	Nungarin	3/07/1987	3/10/1987	92	2512.4	3321.6	809.2	10.3	11.0	11.5	809.2
Evansetal1992	1987	Dalkeith	3/07/1987	8/10/1987	97	2512.4	3382.2	869.8	10.3	11.0	11.6	869.8
Evansetal1992	1987	Trikkala	3/07/1987	17/10/1987	106	2512.4	3476.4	964.0	10.3	11.0	11.8	964.0
Evansetal1992	1987	Woogenellup	3/07/1987	20/10/1987	109	2512.4	3504.7	992.3	10.3	11.0	11.9	992.3
Evansetal1992	1987	Karridale	3/07/1987	30/10/1987	119	2512.4	3644.7	1132.3	10.3	11.0	12.1	1132.3
Evansetal1992	1987	Larisa	3/07/1987	2/11/1987	122	2512.4	3691.7	1179.3	10.3	11.0	12.1	1179.3
Evansetal1992	1987	Meteora	3/07/1987	5/11/1987	125	2512.4	3732.0	1219.6	10.3	11.0	12.2	1219.6
Evansetal1992	1987	MtBarker	3/07/1987	2/11/1987	122	2512.4	3691.7	1179.3	10.3	11.0	12.1	1179.3
Evansetal1992	1990	Nungarin	3/06/1990	16/08/1990	74	2847.1	3518.2	671.1	11.0	10.8	10.9	671.1
Evansetal1992	1990	Dalkeith	3/06/1990	29/08/1990	87	2847.1	3628.5	781.5	11.0	10.8	11.0	781.5
Evansetal1992	1990	Trikkala	3/06/1990	28/08/1990	86	2847.1	3618.3	771.3	11.0	10.8	11.0	771.3
Evansetal1992	1990	Woogenellup	3/06/1990	10/09/1990	99	2847.1	3762.7	915.6	11.0	10.8	11.1	915.6
Evansetal1992	1990	Karridale	3/06/1990	18/09/1990	107	2847.1	3849.9	1002.9	11.0	10.8	11.2	1002.9
Evansetal1992	1990	Larisa	3/06/1990	22/09/1990	111	2847.1	3901.9	1054.9	11.0	10.8	11.3	1054.9
Evansetal1992	1990	Meteora	3/06/1990	26/09/1990	115	2847.1	3936.2	1089.1	11.0	10.8	11.3	1089.1
Evansetal1992	1990	MtBarker	3/06/1990	21/09/1990	110	2847.1	3888.9	1041.9	11.0	10.8	11.2	1041.9
Evansetal1992	1987	Nungarin	1/08/1987	17/10/1987	77	2718.8	3476.4	757.6	10.9	11.9	12.5	757.6
Evansetal1992	1987	Dalkeith	1/08/1987	21/10/1987	81	2718.8	3520.1	801.3	10.9	11.9	12.6	801.3
Evansetal1992	1987	Trikkala	1/08/1987	29/10/1987	89	2718.8	3630.2	911.4	10.9	11.9	12.7	911.4
Evansetal1992	1987	Woogenellup	1/08/1987	3/11/1987	94	2718.8	3704.5	985.7	10.9	11.9	12.8	985.7
Evansetal1992	1987	Karridale	1/08/1987	9/11/1987	100	2718.8	3808.4	1089.6	10.9	11.9	13.0	1089.6
Evansetal1992	1987	Larisa	1/08/1987	11/11/1987	102	2718.8	3836.6	1117.8	10.9	11.9	13.0	1117.8
Evansetal1992	1987	Meteora	1/08/1987	14/11/1987	105	2718.8	3886.4	1167.6	10.9	11.9	13.1	1167.6
Evansetal1992	1987	MtBarker	1/08/1987	16/11/1987	107	2718.8	3916.9	1198.1	10.9	11.9	13.2	1198.1
Evansetal1992	1990	Nungarin	1/08/1990	8/10/1990	68	3387.4	4089.5	702.1	11.3	12.1	12.3	702.1
Evansetal1992	1990	Dalkeith	1/08/1990	11/10/1990	71	3387.4	4123.1	735.7	11.3	12.1	12.4	735.7
Evansetal1992	1990	Trikkala	1/08/1990	13/10/1990	73	3387.4	4149.4	762.0	11.3	12.1	12.4	762.0
Evansetal1992	1990	Woogenellup	1/08/1990	1/11/1990	92	3387.4	4424.9	1037.6	11.3	12.1	12.8	1037.6
Evansetal1992	1990	Karridale	1/08/1990	4/11/1990	95	3387.4	4458.5	1071.1	11.3	12.1	12.8	1071.1
Evansetal1992	1990	Larisa	1/08/1990	8/11/1990	99	3387.4	4523.0	1135.7	11.3	12.1	12.9	1135.7
Evansetal1992	1990	Meteora	1/08/1990	6/11/1990	97	3387.4	4488.4	1101.1	11.3	12.1	12.9	1101.1
Evansetal1992	1990	MtBarker	1/08/1990	10/11/1990	101	3387.4	4556.2	1168.9	11.3	12.1	12.9	1168.9
Evansetal1992	1987	Nungarin	15/08/1987	29/10/1987	75	2838.1	3630.2	792.1	11.4	12.6	13.1	792.1
Evansetal1992	1987	Dalkeith	15/08/1987	2/11/1987	79	2838.1	3691.7	853.6	11.4	12.6	13.2	853.6
Evansetal1992	1987	Trikkala	15/08/1987	5/11/1987	82	2838.1	3732.0	894.0	11.4	12.6	13.2	894.0
Evansetal1992	1987	Woogenellup	15/08/1987	16/11/1987	93	2838.1	3916.9	1078.9	11.4	12.6	13.5	1078.9
Evansetal1992	1987	Karridale	15/08/1987	17/11/1987	94	2838.1	3930.8	1092.7	11.4	12.6	13.5	1092.7
Evansetal1992	1987	Larisa	15/08/1987	21/11/1987	98	2838.1	3989.3	1151.2	11.4	12.6	13.6	1151.2
Evansetal1992	1987	Meteora	15/08/1987	22/11/1987	99	2838.1	4006.6	1168.5	11.4	12.6	13.7	1168.5
Evansetal1992	1987	MtBarker	15/08/1987	28/11/1987	105	2838.1	4112.3	1274.2	11.4	12.6	13.8	1274.2
Evansetal1992	1990	Nungarin	3/04/1990	29/06/1990	87	1928.3	3114.7	1186.5	12.6	12.2	11.3	1186.5
Evansetal1992	1990	Dalkeith	3/04/1990	3/08/1990	122	1928.3	3406.5	1478.3	12.6	12.2	11.0	1478.3
Evansetal1992	1990	Trikkala	3/04/1990	6/08/1990	125	1928.3	3430.6	1502.4	12.6	12.2	10.9	1502.4
Evansetal1992	1990	Woogenellup	3/04/1990	4/09/1990	154	1928.3	3684.4	1756.2	12.6	12.2	10.8	1756.2
Evansetal1992	1990	Karridale	3/04/1990	16/09/1990	166	1928.3	3822.9	1894.6	12.6	12.2	10.8	1894.6
Evansetal1992	1990	Larisa	3/04/1990	20/09/1990	170	1928.3	3879.0	1950.8	12.6	12.2	10.8	1950.8
Evansetal1992	1990	Meteora	3/04/1990	24/09/1990	174	1928.3	3916.4	1988.1	12.6	12.2	10.9	1988.1
Evansetal1992	1990	MtBarker	3/04/1990	20/09/1990	170	1928.3	3879.0	1950.8	12.6	12.2	10.8	1950.8
Evansetal1992	1987	Nungarin	1/09/1987	6/11/1987	66	2978.5	3751.5	773.0	12.1	13.2	13.7	773.0
Evansetal1992	1987	Dalkeith	1/09/1987	8/11/1987	68	2978.5	3792.6	814.1	12.1	13.2	13.7	814.1
Evansetal1992	1987	Trikkala	1/09/1987	7/11/1987	67	2978.5	3771.6	793.1	12.1	13.2	13.7	793.1
Evansetal1992	1987	Woogenellup	1/09/1987	1/12/1987	91	2978.5	4150.4	1171.9	12.1	13.2	14.3	1171.9
Evansetal1992	1987	Karridale	1/09/1987	1/12/1987	91	2978.5	4150.4	1171.9	12.1	13.2	14.3	1171.9
Evansetal1992	1987	Larisa	1/09/1987	8/12/1987	98	2978.5	4255.3	1276.8	12.1	13.2	14.4	1276.8
Evansetal1992	1987	Meteora	1/09/1987	3/12/1987	93	2978.5	4176.9	1198.4	12.1	13.2	14.3	1198.4
Evansetal1992	1987	MtBarker	1/09/1987	10/12/1987	100	2978.5	4281.6	1303.1	12.1	13.2	14.5	1303.1
Evansetal1992	1990	Nungarin	1/09/1990	1/11/1990	61	3659.4	4424.9	765.6	12.2	12.9	13.3	765.6
Evansetal1992	1990	Dalkeith	1/09/1990	2/11/1990	62	3659.4	4435.1	775.7	12.2	12.9	13.3	775.7
Evansetal1992	1990	Trikkala	1/09/1990	31/10/1990	60	3659.4	4414.5	755.2	12.2	12.9	13.3	755.2
Evansetal1992	1990	Woogenellup	1/09/1990	6/12/1990	96	3659.4	4981.7	1322.4	12.2	12.9	13.9	1322.4
Evansetal1992	1990	Karridale	1/09/1990	29/11/1990	89	3659.4	4852.5	1193.2	12.2	12.9	13.8	1193.2
Evansetal1992	1990	Larisa	1/09/1990	2/12/1990	92	3659.4	4910.2	1250.9	12.2	12.9	13.9	1250.9
Evansetal1992	1990	Meteora	1/09/1990	6/12/1990	96	3659.4	4981.7	1322.4	12.2	12.9	13.9	1322.4
Evansetal1992	1990	MtBarker	1/09/1990	23/12/1990	113	3659.4	5281.4	1622.1	12.2	12.9	14.3	1622.1
Evansetal1992	1987	Nungarin	15/09/1987	15/11/1987	61	3101.9	3901.1	799.2	12.7	13.6	14.2	799.2
Evansetal1992	1987	Dalkeith	15/09/1987	16/11/1987	62	3101.9	3916.9	815.1	12.7	13.6	14.2	815.1
Evansetal1992	1987	Trikkala	15/09/1987	17/11/1987	63	3101.9	3930.8	828.9	12.7	13.6	14.3	828.9
Evansetal1992	1987	Woogenellup	15/09/1987	14/12/1987	90	3101.9	4332.1	1230.2	12.7	13.6	14.9	1230.2
Evansetal1992	1987	Karridale	15/09/1987	17/12/1987	93	3101.9	4377.4	1275.6	12.7	13.6	15.0	1275.6
Evansetal1992	1987	Larisa	15/09/1987	19/12/1987	95	3101.9	4413.8	1311.9	12.7	13.6	15.0	1311.9
Evansetal1992	1987	Meteora	15/09/1987	21/12/1987	97	3101.9	4451.4	1349.5	12.7	13.6	15.1	1349.5
Evansetal1992	1987	MtBarker	15/09/1987	29/12/1987	105	3101.9	4582.6	1480.8	12.7	13.6	15.2	1480.8
Evansetal1992	1990	Nungarin	15/09/1990	NA	NA	3812.4	NA	NA	12.7	13.4	NA	NA
Evansetal1992	1990	Dalkeith	15/09/1990	NA	NA	3812.4	NA	NA	12.7	13.4	NA	NA
Evansetal1992	1990	Trikkala	15/09/1990	NA	NA	3812.4	NA	NA	12.7	13.4	NA	NA
Evansetal1992	1990	Woogenellup	15/09/1990	NA	NA	3812.4	NA	NA	12.7	13.4	NA	NA
Evansetal1992	1990	Karridale	15/09/1990	NA	NA	3812.4	NA	NA	12.7	13.4	NA	NA
Evansetal1992	1990	Larisa	15/09/1990	NA	NA	3812.4	NA	NA	12.7	13.4	NA	NA
Evansetal1992	1990	Meteora	15/09/1990	NA	NA	3812.4	NA	NA	12.7	13.4	NA	NA
Evansetal1992	1990	MtBarker	15/09/1990	NA	NA	3812.4	NA	NA	12.7	13.4	NA	NA
