"LocationYear" "AuthorYear" "YearExperiment" "Location" "Country" "Treatcultivar" "SowingDate" "StartFlowering" "PercentFlower" "DaysToFlower"
"142" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Meteora" 1987-10-01 1988-01-02 50 93
"143" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "MtBarker" 1987-10-01 1988-01-27 50 118
"144" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Nungarin" 1990-10-01 1990-11-24 50 54
"145" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Dalkeith" 1990-10-01 1990-11-22 50 52
"146" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Trikkala" 1990-10-01 1990-11-21 50 51
"147" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Woogenellup" 1990-10-01 1990-12-23 50 83
"148" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Karridale" 1990-10-01 1990-12-22 50 82
"149" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Larisa" 1990-10-01 1990-12-24 50 84
"150" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Meteora" 1990-10-01 1990-12-25 50 85
"151" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "MtBarker" 1990-10-01 1991-01-01 50 92
"152" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Nungarin" 1987-11-01 1987-12-31 50 60
"153" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Dalkeith" 1987-11-01 1987-12-25 50 54
"154" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Trikkala" 1987-11-01 1987-12-15 50 44
"155" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Woogenellup" 1987-11-01 1988-01-17 50 77
"156" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Karridale" 1987-11-01 1988-01-20 50 80
"157" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Larisa" 1987-11-01 1988-01-23 50 83
"158" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Meteora" 1987-11-01 1988-01-28 50 88
"159" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "MtBarker" 1987-11-01 1988-02-09 50 100
"160" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Nungarin" 1990-11-01 NA 50 NA
"161" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Dalkeith" 1990-11-01 NA 50 NA
"162" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Trikkala" 1990-11-01 NA 50 NA
"163" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Woogenellup" 1990-11-01 NA 50 NA
"164" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Karridale" 1990-11-01 NA 50 NA
"165" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Larisa" 1990-11-01 NA 50 NA
"166" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Meteora" 1990-11-01 NA 50 NA
"167" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "MtBarker" 1990-11-01 NA 50 NA
"168" NA "FrancisAndGladstone1974" NA "Perth" "AU" "Daglish" NA NA NA NA
"169" NA "FrancisAndGladstone1974" NA "Perth" "AU" "NorthamA" NA NA NA NA
"170" NA "FrancisAndGladstone1974" NA "Perth" "AU" "Geraldton" NA NA NA NA
"171" NA "FrancisAndGladstone1974" NA "Perth" "AU" "Dwalganup" NA NA NA NA
